term,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat,seed,iter,true_val,data,model
betax,0.9601776598151267,1.2459326728883027e-4,0.02477305231705972,0.9114415003681802,0.9435550156469511,0.960276200357541,0.9769658443142419,1.0085721734712336,39533.921002632575,1.0000565553425131,20191111,40000,1,med-pos-noerror,linear
sigma,1.0267427231113229,2.681556060914354e-4,0.05218470628755176,0.9309451265950053,0.9907932172878684,1.0243063272156157,1.060247888430799,1.1363292623756693,37871.51905200264,0.9999880292233144,20191111,40000,1,med-pos-noerror,linear
beta0,-1.116985022439253,3.2150494025642325e-4,0.06253098691312134,-1.2405409682993715,-1.158844746220895,-1.1166565909841188,-1.075126435185633,-0.9947455993163392,37828.16414146806,1.0000657374579902,20191112,40000,-1,med-pos-noerror,linear
betax,0.959564540549071,1.1515143591560137e-4,0.022402351866238585,0.9152254153371419,0.9446635439899647,0.9595417405336941,0.9746595522077888,1.0034505557201292,37848.486089395235,0.9999645676694728,20191112,40000,1,med-pos-noerror,linear
sigma,0.8869609461930931,2.3360869033078066e-4,0.04502932405255667,0.8045287571851445,0.855803568900015,0.8846952414114473,0.9160355601337745,0.9815017869275435,37154.623608354785,1.0001110459698255,20191112,40000,1,med-pos-noerror,linear
beta0,-1.0725208303642062,3.453086494017836e-4,0.06668097135280739,-1.2040610795383648,-1.1171761110310139,-1.0724557891807311,-1.028158296803271,-0.9425812310370703,37289.70276412265,0.9999937303876205,20191113,40000,-1,med-pos-noerror,linear
betax,0.9909938276180309,1.2099542083978677e-4,0.023507710556834878,0.944851621938115,0.9751601362292296,0.9909812127273385,1.0069404088509757,1.0369226894548782,37747.03124518146,0.9999719237396639,20191113,40000,1,med-pos-noerror,linear
sigma,0.9447077425494776,2.4586788863716714e-4,0.04734991707357315,0.8574891058483924,0.9121021375195066,0.942897387221258,0.9751495751224943,1.0436620538131145,37088.120208142704,0.9999597147502393,20191113,40000,1,med-pos-noerror,linear
beta0,-1.0281585309630585,3.7481800411580445e-4,0.07149374551454793,-1.1684992824938034,-1.0761350800138245,-1.027950608435566,-0.9799768971271806,-0.8875025729830267,36382.724068546275,0.999963119642108,20191114,40000,-1,med-pos-noerror,linear
betax,1.025011090192592,1.2668228190862115e-4,0.025197615347453826,0.9759764757980174,1.0079255944077783,1.024944670433169,1.0421515003465716,1.0742786843183105,39562.80984119882,1.000020629401795,20191114,40000,1,med-pos-noerror,linear
sigma,1.0107911708793633,2.612437013920481e-4,0.0511758201159278,0.9162094505181608,0.9749407649789696,1.0089934301603622,1.043740279760227,1.1168326789532967,38374.07902535328,0.9999814268478132,20191114,40000,1,med-pos-noerror,linear
beta0,-0.9870484339708782,3.700502151536959e-4,0.07108600433733979,-1.1275047409559917,-1.0343223462408864,-0.9870951957070466,-0.9398390886197461,-0.8464033071595771,36901.74346110888,0.9999579953426847,20191115,40000,-1,med-pos-noerror,linear
betax,0.9952923153794151,1.3272233004162857e-4,0.025152768944735643,0.94578711001015,0.9784746141856929,0.9953389911228532,1.012149857923994,1.0447889900185605,35915.639840126656,0.999968136861977,20191115,40000,1,med-pos-noerror,linear
sigma,1.0001308836131366,2.7739604627473243e-4,0.05077682976938905,0.9069855131378509,0.9649029894281713,0.9981210426400313,1.0331896307998898,1.105096461173398,33506.620838778006,0.9999742661847093,20191115,40000,1,med-pos-noerror,linear
beta0,-0.9392188757663992,3.5903007410288245e-4,0.07112675390502467,-1.0783751177621645,-0.987088128283732,-0.9398261328144568,-0.8916483646790351,-0.7987362618495584,39246.80613282448,1.000073943033956,20191116,40000,-1,med-pos-noerror,linear
betax,1.0128893431375585,1.1447936329256968e-4,0.02305351575685121,0.9676345616468963,0.9974881810721559,1.012780988972872,1.0282453435819456,1.058119525188457,40552.713772748735,1.0000119523436573,20191116,40000,1,med-pos-noerror,linear
sigma,1.0035120774739095,2.6212566375499865e-4,0.05146211150987415,0.9090296993241596,0.96797475249212,1.0011314475343278,1.036526001906049,1.1114321377282643,38543.94088905335,1.0000445051851874,20191116,40000,1,med-pos-noerror,linear
beta0,-1.07860392817627,3.579427025718867e-4,0.06831223397022294,-1.2119484381494838,-1.1245161646489705,-1.0790256827013986,-1.0329624172880496,-0.9435589489314063,36422.51664010345,0.9999820909719405,20191117,40000,-1,med-pos-noerror,linear
betax,0.9601068160397751,1.2336443061512165e-4,0.02296284479289703,0.9148466922367133,0.9446668889155014,0.9602421240118599,0.9755263558086563,1.0048663106232596,34647.46490942203,0.9999994187042648,20191117,40000,1,med-pos-noerror,linear
sigma,0.9602516459815424,2.558370304445088e-4,0.048799175309194524,0.8707294579568011,0.926316443060758,0.958160468253451,0.9916051449733934,1.0619724407955802,36382.97049900227,1.0001185932708787,20191117,40000,1,med-pos-noerror,linear
beta0,-1.1036412397645738,3.83429300220912e-4,0.07362028250689623,-1.249304737241284,-1.1529350734777637,-1.1032901091223168,-1.05450935437563,-0.958837789324589,36865.859651708226,0.9999596521506402,20191118,40000,-1,med-pos-noerror,linear
betax,1.0633279901477528,1.3599207797550827e-4,0.02653686057894063,1.0113096665630195,1.0452385509042557,1.063338347102996,1.081330168085356,1.1150910529680356,38077.80150776045,1.0000634418514294,20191118,40000,1,med-pos-noerror,linear
sigma,1.0397128680007042,2.7060648140975706e-4,0.05243496235066492,0.9441495481058677,1.0034425972302974,1.0374568713244943,1.0734191461271794,1.1490869378858894,37546.160499161524,0.9999831462136398,20191118,40000,1,med-pos-noerror,linear
beta0,-1.0527112265706544,3.6966876496956005e-4,0.07450400583963669,-1.199690829500609,-1.102795445096342,-1.0523859709394847,-1.00246434940825,-0.9072509309731606,40619.42158715772,0.9999619029242227,20191119,40000,-1,med-pos-noerror,linear
betax,0.9780628472863633,1.3035989919835773e-4,0.0266527439989196,0.9250848777180578,0.96019220165176,0.9781687377671032,0.9960015899760433,1.0302654707492527,41801.88092829999,0.9999843094081562,20191119,40000,1,med-pos-noerror,linear
sigma,1.0568143094338602,2.739201671186529e-4,0.0537430830221795,0.9580450767400424,1.0196659515674646,1.0544732924712314,1.0917397937369644,1.1687343622897022,38494.36297768964,1.000098215270642,20191119,40000,1,med-pos-noerror,linear
beta0,-0.959573185114853,3.578970703313801e-4,0.0689339591157928,-1.0948829654714722,-1.0059879856332858,-0.959089147033123,-0.9133737015012083,-0.8244736048037438,37097.971032098874,0.9999654098608121,20191120,40000,-1,med-pos-noerror,linear
betax,1.0124620710315901,1.2074900320619634e-4,0.023253450838491747,0.9668195650088176,0.9966827006660363,1.0125461313597652,1.0280547962918511,1.0584000135574312,37085.80539110888,0.9999940284350481,20191120,40000,1,med-pos-noerror,linear
sigma,0.9775002049950967,2.586169693019515e-4,0.04957989056003688,0.8861385172977871,0.9432132453370481,0.9756710201698819,1.0096416564937112,1.0810052296396995,36753.3636503889,1.0000481354460626,20191120,40000,1,med-pos-noerror,linear
beta0,-0.9682194646056652,3.4709318557440196e-4,0.0683563889521145,-1.101448536569157,-1.0141651522211057,-0.96851928374926,-0.9226279205499739,-0.8330806165205943,38785.20130740693,0.9999650910468174,20191121,40000,-1,med-pos-noerror,linear
betax,0.965104174136621,1.249569776078036e-4,0.02458409784705535,0.9169730425920704,0.9486517707171871,0.9650962285578396,0.9814940982160416,1.013605674607023,38706.82306180657,0.9999655653968701,20191121,40000,1,med-pos-noerror,linear
sigma,0.9611728498248774,2.4699342755289894e-4,0.04853099983866159,0.87156890314378,0.9275194741626147,0.9594600095675716,0.9925965680914486,1.060699768022993,38607.14473143622,0.9999610645655556,20191121,40000,1,med-pos-noerror,linear
beta0,-1.1034384905759027,3.485662359834031e-4,0.06863008161731464,-1.2384518095239918,-1.1498489344980989,-1.1035511543649124,-1.057505398475699,-0.9683203924476239,38766.66107397827,0.9999717016721774,20191122,40000,-1,med-pos-noerror,linear
betax,1.0266716927469068,1.2267880212510994e-4,0.02437448423762378,0.9785694808517887,1.0104375871640041,1.026512599295696,1.043118243003236,1.0744572590949533,39475.87964092704,0.9999559328735084,20191122,40000,1,med-pos-noerror,linear
sigma,0.9756113645544408,2.4988066404273905e-4,0.049182470224086026,0.8844199706323156,0.9413419728441326,0.9741194209337869,1.0079329898591918,1.0769406755928281,38739.62144886695,0.9999666909892154,20191122,40000,1,med-pos-noerror,linear
beta0,-1.0640290482931836,3.7114306200127347e-4,0.07063884891944693,-1.2025105555356292,-1.1111674781822964,-1.064109204662616,-1.016562968683047,-0.9265515508140977,36224.67806147012,0.999972121017721,20191123,40000,-1,med-pos-noerror,linear
betax,0.9683610170258761,1.2539378420453094e-4,0.02427996314819341,0.9208161872565521,0.9519557134454844,0.9684098267541476,0.9846131262429182,1.0162433928744188,37492.46792042387,1.0000659214796013,20191123,40000,1,med-pos-noerror,linear
sigma,0.9918595272898872,2.617670976042285e-4,0.050139873425677384,0.8983357969641375,0.9571618213160556,0.9899308744387023,1.0242699766742966,1.0954906369871582,36689.04024904234,1.0000218859215881,20191123,40000,1,med-pos-noerror,linear
beta0,-0.9446598430576446,3.441129931126126e-4,0.0707927064882372,-1.084753570119475,-0.9920405964972853,-0.944619371668311,-0.8970218390991942,-0.8054331254264346,42322.84853794417,1.0000277642568787,20191124,40000,-1,med-pos-noerror,linear
betax,0.990055922109967,1.1592241622261588e-4,0.024507624631017667,0.9421467203293815,0.97358076903505,0.9901018786451415,1.0064012447807626,1.0384809479958905,44695.89007491911,1.000021209585471,20191124,40000,1,med-pos-noerror,linear
sigma,1.0022423631228818,2.4378412926591555e-4,0.05102783338030024,0.9080904910957381,0.966918506080779,1.0002025214752694,1.0354459197042978,1.1081709163557323,43813.04116890343,1.000079001451212,20191124,40000,1,med-pos-noerror,linear
beta0,-1.0891097663452929,3.972435945066255e-4,0.07409005634004368,-1.2330680199360438,-1.1388049653440908,-1.089596120865957,-1.0392294938678248,-0.9432749081500764,34786.12426671114,0.9999741328997713,20191125,40000,-1,med-pos-noerror,linear
betax,1.0073795231231135,1.3480823708856199e-4,0.025791465832758403,0.9569079428242538,0.9900521985757279,1.0073019100826417,1.0248111692152695,1.057854037538291,36603.21158660183,0.999994121394737,20191125,40000,1,med-pos-noerror,linear
