term,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat,seed,iter,true_val,data,model
beta0,-0.9697228365447191,3.0399543401294184e-4,0.07706881554577986,-1.1222012237725563,-1.0212779647130736,-0.9699619079651711,-0.9173438126484135,-0.8205108845846513,64272.21212421489,0.9999570478807608,20191108,40000,-1,med-pos-xmiss,linear-xmiss
betax,1.0160639109798668,6.0389548864105614e-5,0.015246112851071945,0.9860122008390421,1.0057580384561702,1.016127862744277,1.0264545507332874,1.0455137809984054,63737.45078614809,0.9999635816817991,20191108,40000,1,med-pos-xmiss,linear-xmiss
sigma,1.0167361248067432,2.4566819618747246e-4,0.055680229407361816,0.9153379925726504,0.9778773271303796,1.0141087793790582,1.0525209320465065,1.133217252443073,51369.360331409676,0.9999562833239377,20191108,40000,1,med-pos-xmiss,linear-xmiss
beta0,-1.0667890808061369,2.969882733227312e-4,0.07924834885957499,-1.2212121805710257,-1.1207195948536843,-1.0666830038572521,-1.0124143873614389,-0.9121638876683267,71203.58201708217,0.9999727231505419,20191109,40000,-1,med-pos-xmiss,linear-xmiss
betax,0.9734766542695709,5.924473827701462e-5,0.015537081443570343,0.9431165744706622,0.9629818853077392,0.9735044235298342,0.9839118740054152,1.0040829407863068,68776.38011795479,0.9999587327032592,20191109,40000,1,med-pos-xmiss,linear-xmiss
sigma,1.0470657171108786,2.4147918760427053e-4,0.057144299335809286,0.9425080717212576,1.0074962761729176,1.0442580862907591,1.084023039092756,1.165795835794543,55999.791741747555,0.9999734753694804,20191109,40000,1,med-pos-xmiss,linear-xmiss
