term,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat,seed,iter,true_val,data,model
beta0,-0.923103710020665,3.43312852819216e-4,0.07842870274893333,-1.0772745004458952,-0.9755607133005759,-0.9228798597586838,-0.8711301578325324,-0.7689549368884412,52187.91397786946,0.99998211887683,20191108,40000,-1,med-pos-xymiss,linear-xymiss
betax,1.0252316025824064,6.995293848520017e-5,0.015707628471812507,0.9943714884302112,1.0146418393638663,1.025236262100866,1.0358324270156711,1.0559774976440814,50420.75169604364,0.9999734892084622,20191108,40000,1,med-pos-xymiss,linear-xymiss
sigma,0.9915092514423369,2.758895640940351e-4,0.05619116742557533,0.8896408981423526,0.9523986864287981,0.9888567313442477,1.0279592021597255,1.109526687222344,41482.56134985997,1.0000317198207367,20191108,40000,1,med-pos-xymiss,linear-xymiss
beta0,-1.0744207465577407,3.6379267161726006e-4,0.08461307607791961,-1.2397833854638924,-1.1314467400570407,-1.0745503557094433,-1.017580618275993,-0.908786188634634,54096.239413431154,0.9999991918580062,20191109,40000,-1,med-pos-xymiss,linear-xymiss
betax,0.9643346170847868,7.020943213514293e-5,0.016688825999989134,0.9315921786354343,0.9531295023918648,0.9642359690398727,0.975608661619392,0.9970581247451296,56501.58780637288,0.999979210383548,20191109,40000,1,med-pos-xymiss,linear-xymiss
sigma,1.0485871800600468,3.008386496284201e-4,0.060710554497826724,0.9384034649250844,1.0060650456347793,1.0457297700859187,1.087905600903323,1.1755177974836266,40725.004204444595,0.9999605597846637,20191109,40000,1,med-pos-xymiss,linear-xymiss
