term,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat,seed,iter,true_val,data,model
beta0,-5.461136492574805,0.008156517381952761,0.7480665421792935,-7.031681666871977,-5.9450863561251825,-5.423459321859307,-4.937492590681178,-4.1151315082169715,8411.451207109712,1.0002445459870972,20191108,40000,-5,med-pos-ymiss,binary-ymiss
betax,1.810603897933903,0.002758057413315913,0.2526146444821748,1.3519316172158289,1.6346026188450067,1.7961631135181042,1.9742032493167347,2.3398357728712234,8389.004792407028,1.0001644663691611,20191108,40000,1.5,med-pos-ymiss,binary-ymiss
beta0,-5.248237440912058,0.00819638197620064,0.7216130039266553,-6.767355409936185,-5.709349590621396,-5.214057167713151,-4.747391986913437,-3.928032742327405,7751.1175358078835,1.0001855353103277,20191109,40000,-5,med-pos-ymiss,binary-ymiss
betax,1.7121648562276985,0.0027877590160613297,0.2444840279303387,1.2648167046473042,1.5423085362064173,1.700514242091253,1.8691805827693617,2.2264098349722454,7691.136620827308,1.0001707307539502,20191109,40000,1.5,med-pos-ymiss,binary-ymiss
