term,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat,seed,iter,true_val,data,model
betax,0.9767495230813701,7.021573611418892e-5,0.016970187044457713,0.9432360491349029,0.9655340269919277,0.9767454693297135,0.9882367482778301,1.0096738066474058,58412.30602956721,0.9999768207675322,20191111,40000,1,med-pos-xyerror,linear-xyme
sigma,1.0326752788138165,4.320363949364764e-4,0.07601006863009578,0.8909984627786156,0.9801193936173045,1.0309231041276496,1.0826037461219764,1.1872268804953685,30952.916938393726,0.9999920922353054,20191111,40000,1,med-pos-xyerror,linear-xyme
beta0,-1.191240782489397,3.7707733888319594e-4,0.07338781062618588,-1.3339137811934343,-1.2408849396066777,-1.190641386882528,-1.142508639558932,-1.0476484637716923,37877.996205800824,0.9999711150353553,20191112,40000,-1,med-pos-xyerror,linear-xyme
betax,0.9739839115073531,7.965857459512647e-5,0.015232874964024538,0.9442834515377413,0.963621729342836,0.9738872423759188,0.9842637365682406,1.0038400227044717,36567.78819013155,0.9999771839290837,20191112,40000,1,med-pos-xyerror,linear-xyme
sigma,0.7724712426140146,5.791247670291841e-4,0.07134240151936466,0.6360743540506167,0.7237098129594302,0.7709737434892603,0.8193168430268509,0.9164373542532306,15175.785233684215,1.00011388761489,20191112,40000,1,med-pos-xyerror,linear-xyme
beta0,-0.896663396321372,3.663576215309725e-4,0.08402446703482187,-1.0622195074605174,-0.952606670074296,-0.8974425176982331,-0.8400381892693541,-0.7322630319130266,52601.85638399661,0.9999628985402292,20191113,40000,-1,med-pos-xyerror,linear-xyme
betax,0.9978529902427331,7.974766312602643e-5,0.017467975211874303,0.9634952610835277,0.9862049910666983,0.9978640550033977,1.0096260820707834,1.0320624480517817,47978.7802303061,0.9999840790101393,20191113,40000,1,med-pos-xyerror,linear-xyme
sigma,0.9362968510439732,4.927328060660936e-4,0.07515347127025782,0.7951378303333857,0.8848464941670133,0.9337246319831951,0.9851926662017966,1.090565350000119,23263.504183048626,0.9999667282947564,20191113,40000,1,med-pos-xyerror,linear-xyme
beta0,-1.0660647515055062,3.753022328731827e-4,0.08493870254085245,-1.2323847632360656,-1.1233213654407774,-1.0661834161253143,-1.008888700469485,-0.8985946553496698,51221.10566468918,0.9999566156223512,20191114,40000,-1,med-pos-xyerror,linear-xyme
betax,0.9944279996585668,7.830733180946053e-5,0.017642905814182902,0.9600732577121746,0.9826255301348388,0.9944617489969927,1.0061764159415387,1.029186428460707,50761.60888899358,0.9999993991870798,20191114,40000,1,med-pos-xyerror,linear-xyme
