term,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat,seed,iter,true_val,data,model
beta0,-6.363203009948587,0.01026331477484584,0.9490291225546097,-8.41032908739102,-6.974272141051077,-6.30738929547009,-5.693048999855476,-4.664899323391864,8550.347817011205,1.0010789016369481,20191108,40000,-5,med-pos-nomiss,binary
betax,1.9924786557142036,0.003244611018267853,0.30104229958134315,1.4504570245243376,1.7802276828135886,1.9767301228421896,2.1843527311334716,2.6363192729114164,8608.54528204646,1.000909409587994,20191108,40000,1.5,med-pos-nomiss,binary
beta0,-7.332801576053483,0.0140686344112562,1.1672303332256788,-9.882837984979492,-8.046140478913308,-7.245578160884572,-6.518389012715643,-5.300351130518902,6883.498816040512,1.0001929348471004,20191109,40000,-5,med-pos-nomiss,binary
betax,2.2994082302544894,0.004379209718353938,0.3655642952360232,1.6586268092723344,2.044651269552209,2.2729665182173324,2.526188648550141,3.09547480032152,6968.447865901572,1.0001882625173784,20191109,40000,1.5,med-pos-nomiss,binary
