term,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat,seed,iter,true_val,data,model
beta0,-1.0079625912823895,3.324242963653106e-4,0.09345754691140298,-1.1914325463618856,-1.0711182566694089,-1.0079765221374726,-0.9448702624280474,-0.8244395974420903,79039.32787199026,0.9999545962784497,20191115,40000,-1,med-pos-xyerror,linear-xme
betax,1.1883931792119462,9.065411087338773e-5,0.02538715048129109,1.1386574123930968,1.1712855602135634,1.1883283388053807,1.2055190646059628,1.2377192254008005,78424.70777110451,0.9999837772088127,20191115,40000,1,med-pos-xyerror,linear-xme
sigma,1.1991731336636962,2.9841153577923966e-4,0.0731624991233991,1.0633110433350474,1.1488635172471375,1.1962376318630819,1.2465196616527319,1.3514633285758948,60109.878246275395,0.9999529551255926,20191115,40000,1,med-pos-xyerror,linear-xme
beta0,-0.8699354285613283,3.1750802943643954e-4,0.0870320395859684,-1.0404563985620288,-0.9287842832777933,-0.8698097468718153,-0.8115456395319144,-0.6987251976772546,75136.14298307708,0.9999685877579301,20191116,40000,-1,med-pos-xyerror,linear-xme
betax,1.2630663794043273,7.300387487806891e-5,0.020039505770236967,1.2240920814224068,1.249450903950632,1.2631113870892983,1.276613705118507,1.3022787006450796,75349.81470589423,0.9999520037002949,20191116,40000,1,med-pos-xyerror,linear-xme
sigma,1.082686083120049,3.1421184372310067e-4,0.06993274813653805,0.9519715144886062,1.0346049168635445,1.0801637036815723,1.1280452944168955,1.2264326184793373,49535.447169222185,0.9999936380477982,20191116,40000,1,med-pos-xyerror,linear-xme
beta0,-0.9472446664410775,3.1567460475887503e-4,0.08941962568398067,-1.123714006390115,-1.0075654351808896,-0.947012972600375,-0.8869462537965583,-0.7721592291911199,80239.16569200657,0.9999543315404222,20191117,40000,-1,med-pos-xyerror,linear-xme
betax,1.2434460089064723,8.462683984544937e-5,0.023171073017735706,1.198100036252423,1.2278003185962623,1.243545383413181,1.2590095203010119,1.2887236146051226,74968.02060835542,0.9999520134094443,20191117,40000,1,med-pos-xyerror,linear-xme
sigma,1.1333108371020721,3.124105314220175e-4,0.07157239913817581,0.9993315820583482,1.083877298352659,1.1308138121290612,1.180258992279097,1.2796962080282108,52485.558051012755,0.9999600086514395,20191117,40000,1,med-pos-xyerror,linear-xme
beta0,-1.0264874351331472,4.3133019923110303e-4,0.08527951827505681,-1.1941251868357912,-1.083903986027543,-1.0261313802246765,-0.9694247603676331,-0.8597305600031363,39090.366740863305,0.9999580675092545,20191118,40000,-1,med-pos-xyerror,linear-xme
betax,1.2098540539904623,1.0272703239832394e-4,0.020364745354517936,1.1699866857582661,1.1962082542269548,1.2098660630989726,1.223556561091253,1.2500715562292366,39299.63196358864,0.9999651566483644,20191118,40000,1,med-pos-xyerror,linear-xme
sigma,1.0775705450863684,3.7521702532512726e-4,0.06840668466879056,0.9505379835070888,1.0298232586713185,1.0754543033734056,1.122548087247669,1.217839859845536,33237.780350654815,1.0000773383194757,20191118,40000,1,med-pos-xyerror,linear-xme
beta0,-1.0724533363893303,3.8078851098488365e-4,0.0867344322556726,-1.2412795222656974,-1.131440232167063,-1.072244837299788,-1.0139637065401246,-0.9034231367673976,51881.84441812359,0.9999769625532084,20191119,40000,-1,med-pos-xyerror,linear-xme
betax,1.2382504974904038,9.724815157302494e-5,0.021909087137390388,1.1952550551355645,1.2236740408773719,1.2382948232304907,1.252943190507041,1.2809853475834774,50755.82072067996,0.9999735494406843,20191119,40000,1,med-pos-xyerror,linear-xme
sigma,1.081855078396802,3.4653061226958535e-4,0.06926489910984682,0.9522253141770357,1.0341501187138677,1.0792528259199234,1.127104376728914,1.2232905986649079,39952.43007945619,0.9999905359473075,20191119,40000,1,med-pos-xyerror,linear-xme
beta0,-1.0766397799804324,3.0654412223024655e-4,0.08297694555714712,-1.2395594232487015,-1.132664088480047,-1.0766338266501636,-1.020783128393636,-0.9146023393883,73270.45722914522,0.9999501300587784,20191120,40000,-1,med-pos-xyerror,linear-xme
betax,1.247497995253905,8.508038858458257e-5,0.022087143154946566,1.2042191113261285,1.2326032702439413,1.2475369075894935,1.262252400103484,1.2907834113927519,67393.8337843598,0.9999723917837726,20191120,40000,1,med-pos-xyerror,linear-xme
sigma,1.01886786080439,3.1402365848268187e-4,0.0673408467885331,0.8931585031191306,0.9726580171954582,1.016215297740462,1.0628082033332382,1.157864263986187,45986.71722542797,0.9999985281737773,20191120,40000,1,med-pos-xyerror,linear-xme
beta0,-0.9813816162579341,3.104747835674087e-4,0.08618507185343323,-1.15129006776482,-1.039762644122913,-0.9807599653292878,-0.9237278839714003,-0.8123449535672301,77056.88167257894,1.000054576536082,20191121,40000,-1,med-pos-xyerror,linear-xme
betax,1.2364964340190765,8.127024975194814e-5,0.022278216103980095,1.192499443798343,1.2216125325016078,1.236570735433226,1.2513488064390117,1.2801987878394914,75144.57560195634,1.0000073549066337,20191121,40000,1,med-pos-xyerror,linear-xme
sigma,1.084645941357809,3.0834634225073847e-4,0.06921077713670123,0.9564124127872463,1.036687905269759,1.082002657470026,1.1296459131234995,1.22776482486138,50381.3556894587,1.0000220147382013,20191121,40000,1,med-pos-xyerror,linear-xme
beta0,-1.1867969698005134,4.4462822202368e-4,0.09743576460333814,-1.3770737702518865,-1.2526535242582983,-1.1868140911613783,-1.121261782320797,-0.9945367100847573,48022.2765424407,0.9999582004333994,20191122,40000,-1,med-pos-xyerror,linear-xme
betax,1.2303009105221898,1.0940347110761553e-4,0.02414587415496477,1.1832233785938597,1.2139634272156834,1.2302065079835929,1.2466702963333716,1.2780461147156559,48710.620624622185,0.9999865454981395,20191122,40000,1,med-pos-xyerror,linear-xme
sigma,1.2628705088574408,3.942474891954114e-4,0.07604354995709697,1.121070026940697,1.2101880997620293,1.2607687154473068,1.3128323020030468,1.4184679807825276,37203.76509160869,0.9999637691471478,20191122,40000,1,med-pos-xyerror,linear-xme
beta0,-0.9539348570342955,3.6939808140053134e-4,0.0843198210042119,-1.1184247304298294,-1.0111663309898142,-0.953832182099338,-0.8965258250783458,-0.7877524938721127,52103.88192405316,0.9999760274151004,20191123,40000,-1,med-pos-xyerror,linear-xme
betax,1.2411810664367238,8.95003001923184e-5,0.020027858995951706,1.2016932758363805,1.2277341549609293,1.2412009974506404,1.2546694303296706,1.2800061508756502,50074.897189401585,0.9999797702923184,20191123,40000,1,med-pos-xyerror,linear-xme
