data,model,term,iter,true_val,med_mean,med_sd,sd_mean,coverage,nsim
med-pos-noerror,linear,beta0,40000,-1,-1.0008792877091637,0.07359165408988566,0.07143272391299539,0.934,1000
med-pos-noerror,linear,betax,40000,1,1.0007012636275203,0.024903071991071567,0.02476337468625056,0.94,1000
med-pos-noerror,linear,sigma,40000,1,1.0039645431864836,0.052535819612664084,0.05096551866831129,0.945,1000
med-pos-xyerror,linear-xme,beta0,40000,-1,-0.9801963721714634,0.09583700180791119,0.0868796374934821,0.91,200
med-pos-xyerror,linear-xme,betax,40000,1,1.2370366423944759,0.022796536357253934,0.021779487069676147,0,200
med-pos-xyerror,linear-xme,sigma,40000,1,1.087588453863434,0.06752781929283636,0.06971200725358345,0.725,200
med-pos-xyerror,linear-xyme,beta0,40000,-1,-0.9699125879607121,0.10265980812629044,0.08569970445496983,0.9,100
med-pos-xyerror,linear-xyme,betax,40000,1,0.9892099925268115,0.01803052477345621,0.017368372011863795,0.9,100
med-pos-xyerror,linear-xyme,sigma,40000,1,0.9797153684968534,0.080358828889446,0.07536778219587521,0.95,100
